,source,target,value
0,Carl,Solomon,18
1,Caitlin,Solomon,43
2,Anderson,Fred,46
3,Fred,Jasira,44
4,Anderson,Jasira,5
5,Jasira,Santiago,5
6,Fred,Santiago,5
7,Fred,Marama,7
8,Hutch,Leelee,239
9,David,Leelee,276
10,David,Hutch,413
11,Bobbie,David,163
12,Bobbie,Hutch,26
13,Bobbie,Leelee,10
14,Erich,Timmy,398
15,Lydia,Timmy,186
16,Erich,Lydia,105
17,Amos,Erich,480
18,Amos,Timmy,19
19,Drexler,Fong,5
20,Ernz,Fong,4
21,Ernz,Jones,5
22,Jones,Mellin,6
23,Hardberger,Mellin,6
24,Coombs,Hardberger,6
25,Coombs,Quintana,5
26,Brown,Quintana,166
27,Ernz,Quintana,6
28,Alberto,Brown,91
29,Brown,Paolo,3
30,Brown,Fong,53
31,Fong,Sujai,4
32,Brown,Sujai,6
33,Brown,Coombs,13
34,Fong,Quintana,80
35,Alberto,Quintana,79
36,Alberto,Navarro,11
37,Fong,Navarro,24
38,Navarro,Quintana,10
39,Brown,Navarro,8
40,Alberto,Fong,25
41,Alberto,Hardberger,5
42,Hardberger,Navarro,6
43,Aaron,Alberto,2
44,Fong,Mellin,6
45,Mellin,Quintana,4
46,Quintana,Trinh,12
47,Le,Quintana,24
48,Bhalki,Coombs,5
49,Bhalki,Navarro,5
50,Kanter,Quintana,1
51,Brown,Michio,3
52,Le,Trinh,6
53,Bouthers,Quintana,6
54,Bouthers,Lodge,5
55,Kenzi,Lodge,6
56,Kenzi,Yacobsen,6
57,Al-Farmi,Yacobsen,6
58,Al-Farmi,Brown,6
59,Kibushi,Singh,10
60,Lodge,Trinh,6
61,Fong,Lodge,3
62,Lodge,Quintana,5
63,Cara,Xan,617
64,Santiago,Xan,77
65,Cara,Santiago,26
66,Cara,Dot,10
67,Jason,Xan,8
68,Santiago,Singh,6
69,Cara,Singh,1
70,Cara,Winston,2
71,Winston,Xan,4
72,Cara,Gary,5
73,Biryar,Michelle,2
74,Augustin,Mona,4
75,Biryar,Mona,201
76,Mona,Suyet,3
77,Carmichael,Mona,47
78,Biryar,Carmichael,26
79,Biryar,Erich,3
80,Biryar,Singh,7
81,Agnete,Biryar,3
82,Mona,Veronica,191
83,Carmichael,Veronica,10
84,Biryar,Veronica,27
85,Grover,Mona,4
86,Carmichael,Grover,1
87,Biryar,Suyet,6
88,Biryar,Lara,41
89,Lara,Mona,3
90,Agnete,Lara,21
91,Biryar,Carlisle,7
92,Carlisle,Veronica,4
93,Erich,Singh,2
94,Jandro,Leward,165
95,Filip,Jandro,108
96,Filip,Leward,70
97,Filip,Kofi,3
98,Filip,Mose,92
99,Kofi,Leward,18
100,Jandro,Mose,30
101,Jandro,Kofi,37
102,Kofi,Mose,52
103,Leward,Mose,21
104,Adiyah,Mose,6
105,Adiyah,Kofi,3
106,Leward,Nami,1
107,Filip,Jackson,36
108,Jackson,Mose,17
109,Cameron,Jackson,44
110,Cameron,Jandro,6
111,Jackson,Jandro,5
112,Cameron,Mose,8
113,Cameron,Filip,5
114,Alyn,Jackson,13
115,Jackson,Leward,10
116,Alyn,Jandro,3
117,Alyn,Yuri,15
118,Jandro,Yuri,11
119,Cyn,Jandro,5
120,Chuchu,Cyn,6
121,Andrew,Chuchu,23
122,Andrew,Jandro,2
123,Adiyah,Leward,3
124,Adiyah,Merton,4
125,Jandro,Merton,3
126,Jim,Naomi,891
127,Jim,Tom,30
128,Jim,Miller,323
129,Darren,Miller,4
130,Darren,Ian,5
131,George,Ian,11
132,Ian,Tom,5
133,Dave,Julie,5
134,Amos,Naomi,1848
135,Amos,McDowell,15
136,McDowell,Naomi,27
137,Ade,McDowell,95
138,Jim,McDowell,78
139,McDowell,Rebecca,15
140,Bomie,Miller,54
141,Ariadne,Miller,8
142,Julie,Miller,570
143,Alex,Naomi,2124
144,Ade,Alex,35
145,Amos,Shed,55
146,Alex,Shed,30
147,Naomi,Shed,42
148,Alex,Amos,1876
149,Ade,Naomi,4
150,Miller,Shaddid,12
151,McDowell,Miller,4
152,Alex,Jim,687
153,Alex,McDowell,29
154,Ade,Jim,32
155,Cameron,Shed,2
156,Alex,Cameron,5
157,Brown,Miller,17
158,Alex,Miller,209
159,Cameron,Jim,4
160,Ade,Cameron,5
161,Ariadne,Julie,10
162,Amos,Jim,703
163,Jim,Shed,5
164,Fred,Naomi,240
165,Amos,Miller,523
166,Mateo,Miller,35
167,Chucky,Miller,7
168,Amos,Kelly,28
169,Kelly,Shed,9
170,Kelly,Lopez,11
171,Miller,Shed,22
172,Alex,Kelly,63
173,Gomez,Kelly,78
174,Kelly,Mole,10
175,Dookie,Mole,6
176,McDowell,Shed,5
177,Amos,Gomez,13
178,Gomez,Mole,4
179,Kelly,Naomi,58
180,Dookie,Kelly,14
181,Dookie,Naomi,2
182,Gomez,Naomi,9
183,Kelly,Miller,13
184,Alex,Gomez,10
185,Alex,Fred,112
186,Amos,Fred,128
187,Fred,Miller,619
188,Fred,Shed,5
189,Gomez,McDowell,6
190,Julie,Shaddid,12
191,Fred,Jim,77
192,Fred,Kelly,7
193,Miller,Naomi,734
194,Julie,Sematimba,9
195,Miller,Sematimba,176
196,Julie,Naomi,45
197,Amos,Julie,21
198,Fred,Julie,18
199,Brown,Darren,1
200,Mikey,Miller,9
201,Caesar,Naomi,12
202,Diogo,Miller,271
203,Diogo,Fred,6
204,Diogo,Julie,6
205,Jila,Miller,5
206,McBride,Naomi,9
207,McBride,Miller,6
208,Fred,McBride,13
209,Amos,McBride,2
210,Alex,McBride,10
211,Fred,Shaddid,3
212,Bobbie,Travis,14
213,Gourab,Travis,24
214,Bobbie,Gourab,8
215,Bobbie,Carrie,5
216,Carrie,Mei,48
217,Mei,Strickland,222
218,Carrie,Strickland,7
219,Bobbie,Mei,49
220,Doris,Mei,3
221,Carrie,Nicola,2
222,Mei,Nicola,67
223,Bobbie,Thorsson,287
224,Singh,Thorsson,7
225,Bobbie,Singh,36
226,Bobbie,Martens,86
227,Martens,Thorsson,33
228,Amos,Rowena,4
229,Naomi,Rowena,5
230,Katoa,Mei,39
231,Melissa,Santichai,43
232,Melissa,Naomi,24
233,Naomi,Santichai,10
234,Arjun,Kiki,9
235,Ashanti,Kiki,12
236,Mei,Naomi,73
237,Amos,Mei,152
238,Amos,Strickland,49
239,Naomi,Strickland,12
