character_name,url,first_name
Aaman,https://expanse.fandom.com/wiki/Aaman,Aaman
Aaron ,https://expanse.fandom.com/wiki/Aaron_(Books),Aaron
Abril ,https://expanse.fandom.com/wiki/Abril_(Books),Abril
Ade Tukunbo ,https://expanse.fandom.com/wiki/Ade_Tukunbo_(Books),Ade
Adiki-Sandoval,https://expanse.fandom.com/wiki/Adiki-Sandoval,Adiki-Sandoval
Adiyah ,https://expanse.fandom.com/wiki/Adiyah_(Books),Adiyah
Admiral Milan,https://expanse.fandom.com/wiki/Admiral_Milan,Milan
Agnete,https://expanse.fandom.com/wiki/Agnete,Agnete
Carl al-Dujaili ,https://expanse.fandom.com/wiki/Carl_al-Dujaili_(Books),Carl
Al-Farmi ,https://expanse.fandom.com/wiki/Al-Farmi_(Books),Al-Farmi
Evelyn Albert ,https://expanse.fandom.com/wiki/Evelyn_Albert_(Books),Evelyn
Alberto Correa ,https://expanse.fandom.com/wiki/Alberto_Correa_(Books),Alberto
Alexander Verbinski ,https://expanse.fandom.com/wiki/Alexander_Verbinski_(Books),Alexander
Charles Jacob Allen ,https://expanse.fandom.com/wiki/Charles_Jacob_Allen_(Books),Charles
Lydia Allen ,https://expanse.fandom.com/wiki/Lydia_Allen_(Books),Lydia
Althea Ecco ,https://expanse.fandom.com/wiki/Althea_Ecco_(Books),Althea
Alyn ,https://expanse.fandom.com/wiki/Alyn_(Books),Alyn
Ami Henders,https://expanse.fandom.com/wiki/Ami_Henders,Ami
Amy ,https://expanse.fandom.com/wiki/Amy_(Books),Amy
Kasim Andrada,https://expanse.fandom.com/wiki/Kasim_Andrada,Kasim
Andrew ,https://expanse.fandom.com/wiki/Andrew_(Books),Andrew
Annamarie,https://expanse.fandom.com/wiki/Annamarie,Annamarie
Father Anton,https://expanse.fandom.com/wiki/Anton,Father Anton
Arbrecht ,https://expanse.fandom.com/wiki/Arbrecht_(Books),Arbrecht
Arjun ,https://expanse.fandom.com/wiki/Arjun_(Books),Arjun
Arnold Mfume,https://expanse.fandom.com/wiki/Arnold_Mfume,Arnold
Ashanti ,https://expanse.fandom.com/wiki/Ashanti_(Books),Ashanti
Asher Kamamatsu ,https://expanse.fandom.com/wiki/Asher_Kamamatsu_(Books),Asher
Ashford ,https://expanse.fandom.com/wiki/Ashford_(Books),Ashford
Augustin Balecheck,https://expanse.fandom.com/wiki/Augustin_Balecheck,Augustin
Chrisjen Avasarala ,https://expanse.fandom.com/wiki/Chrisjen_Avasarala_(Books),Chrisjen
Carlos c de Baca ,https://expanse.fandom.com/wiki/Carlos_c_de_Baca_(Books),Carlos
Bakari Kamal,https://expanse.fandom.com/wiki/Bakari_Kamal,Bakari
Barry Li,https://expanse.fandom.com/wiki/Barry_Li,Barry
Fermín Beltran ,https://expanse.fandom.com/wiki/Ferm%C3%ADn_Beltran_(Books),Fermín
Bertold ,https://expanse.fandom.com/wiki/Bertold_(Books),Bertold
Bhalki ,https://expanse.fandom.com/wiki/Bhalki_(Books),Bhalki
Biryar Rittenaur,https://expanse.fandom.com/wiki/Biryar_Rittenaur,Biryar
Cara Bisset ,https://expanse.fandom.com/wiki/Cara_Bisset_(Books),Cara
Blanca,https://expanse.fandom.com/wiki/Blanca,Blanca
Botton,https://expanse.fandom.com/wiki/Botton,Botton
Doris Bourne ,https://expanse.fandom.com/wiki/Doris_Bourne_(Books),Doris
Bouthers ,https://expanse.fandom.com/wiki/Bouthers_(Books),Bouthers
Brown ,https://expanse.fandom.com/wiki/Brown_(Books),Brown
Amos Burton ,https://expanse.fandom.com/wiki/Amos_Burton_(Books),Amos
Rebecca Byers ,https://expanse.fandom.com/wiki/Rebecca_Byers_(Books),Rebecca
C.J.,https://expanse.fandom.com/wiki/C.J.,C.J.
Caesar ,https://expanse.fandom.com/wiki/Caesar_(Books),Caesar
Cameron ,https://expanse.fandom.com/wiki/Cameron_(Books),Cameron
Cameron Paj ,https://expanse.fandom.com/wiki/Cameron_Paj_(Books),Cameron
Captain Burnham,https://expanse.fandom.com/wiki/Captain_Burnham,Burnham
Carlisle Hayyam,https://expanse.fandom.com/wiki/Carlisle_Hayyam,Carlisle
Carmichael,https://expanse.fandom.com/wiki/Carmichael,Carmichael
Carrie Fisk,https://expanse.fandom.com/wiki/Carrie_Fisk,Carrie
Caspar Asoau,https://expanse.fandom.com/wiki/Caspar_Asoau,Caspar
Cass ,https://expanse.fandom.com/wiki/Cass_(Books),Cass
Elio Casti ,https://expanse.fandom.com/wiki/Elio_Casti_(Books),Elio
Caton,https://expanse.fandom.com/wiki/Caton,Caton
Caudel,https://expanse.fandom.com/wiki/Caudel,Caudel
Charanpal ,https://expanse.fandom.com/wiki/Charanpal_(Books),Charanpal
Bomie Chatterjee,https://expanse.fandom.com/wiki/Bomie_Chatterjee,Bomie
Michelle Cheval,https://expanse.fandom.com/wiki/Michelle_Cheval,Michelle
Carol Chiwewe ,https://expanse.fandom.com/wiki/Carol_Chiwewe_(Books),Carol
Choudhary,https://expanse.fandom.com/wiki/Choudhary,Choudhary
Christina Huang Samuels,https://expanse.fandom.com/wiki/Christina_Huang_Samuels,Christina
Chuchu,https://expanse.fandom.com/wiki/Chuchu,Chuchu
Chuck ,https://expanse.fandom.com/wiki/Chuck_(Caliban%27s_War),Chuck
Chuck ,https://expanse.fandom.com/wiki/Chuck_(Tiamat%27s_Wrath),Chuck
Chucky Snails,https://expanse.fandom.com/wiki/Chucky_Snails,Chucky
Clip ,https://expanse.fandom.com/wiki/Clip_(Books),Clip
Connor Weigel,https://expanse.fandom.com/wiki/Connor_Weigel,Connor
Coombs ,https://expanse.fandom.com/wiki/Coombs_(Books),Coombs
Coop ,https://expanse.fandom.com/wiki/Coop_(Books),Coop
Safwan Cork,https://expanse.fandom.com/wiki/Safwan_Cork,Safwan
Hector Cortez ,https://expanse.fandom.com/wiki/Hector_Cortez_(Books),Hector
Paolo Cortázar ,https://expanse.fandom.com/wiki/Paolo_Cort%C3%A1zar_(Books),Paolo
Cotyar ,https://expanse.fandom.com/wiki/Cotyar_(Books),Cotyar
Cyn ,https://expanse.fandom.com/wiki/Cyn_(Books),Cyn
Darius ,https://expanse.fandom.com/wiki/Darius_(Books),Darius
Darren ,https://expanse.fandom.com/wiki/Darren_(Books),Darren
Dave,https://expanse.fandom.com/wiki/Dave,Dave
Davenport,https://expanse.fandom.com/wiki/Davenport,Davenport
David Artemis Kuhn ,https://expanse.fandom.com/wiki/David_Artemis_Kuhn_(Books),David
Anderson Dawes ,https://expanse.fandom.com/wiki/Anderson_Dawes_(Books),Anderson
Diecisete ,https://expanse.fandom.com/wiki/Diecisete_(Books),Diecisete
Dimitri,https://expanse.fandom.com/wiki/Dimitri,Dimitri
Diogo ,https://expanse.fandom.com/wiki/Diogo_(Books),Diogo
Dookie ,https://expanse.fandom.com/wiki/Dookie_(Books),Dookie
Dot Bisset,https://expanse.fandom.com/wiki/Dot_Bisset,Dot
Ben Draper ,https://expanse.fandom.com/wiki/Ben_Draper_(Books),Ben
Bobbie Draper ,https://expanse.fandom.com/wiki/Bobbie_Draper_(Books),Bobbie
David Draper ,https://expanse.fandom.com/wiki/David_Draper_(Books),David
Antony Dresden ,https://expanse.fandom.com/wiki/Antony_Dresden_(Books),Antony
Drexler ,https://expanse.fandom.com/wiki/Drexler_(Books),Drexler
Camina Drummer ,https://expanse.fandom.com/wiki/Camina_Drummer_(Books),Camina
Teresa Duarte ,https://expanse.fandom.com/wiki/Teresa_Duarte_(Books),Teresa
Winston Duarte ,https://expanse.fandom.com/wiki/Winston_Duarte_(Books),Winston
Dust Runners,https://expanse.fandom.com/wiki/Dust_Runners,Dust
Eduard Hopkins,https://expanse.fandom.com/wiki/Eduard_Hopkins,Eduard
Elise ,https://expanse.fandom.com/wiki/Elise_(Books),Elise
Emily Babbage ,https://expanse.fandom.com/wiki/Emily_Babbage_(Books),Emily
Emily Richards ,https://expanse.fandom.com/wiki/Emily_Richards_(Books),Emily
Emma Zomorodi,https://expanse.fandom.com/wiki/Emma_Zomorodi,Emma
Solomon Epstein ,https://expanse.fandom.com/wiki/Solomon_Epstein_(Books),Solomon
Erich ,https://expanse.fandom.com/wiki/Erich_(Books),Erich
Ernz ,https://expanse.fandom.com/wiki/Ernz_(Books),Ernz
Sadavir Errinwright ,https://expanse.fandom.com/wiki/Sadavir_Errinwright_(Books),Sadavir
Caitlin Esquibel ,https://expanse.fandom.com/wiki/Caitlin_Esquibel_(Books),Caitlin
Esteban Sorrento-Gillis ,https://expanse.fandom.com/wiki/Esteban_Sorrento-Gillis_(Books),Esteban
Evans Garner-Choi,https://expanse.fandom.com/wiki/Evans_Garner-Choi,Evans
Evita Jung ,https://expanse.fandom.com/wiki/Evita_Jung_(Books),Evita
Ezio Rodriguez ,https://expanse.fandom.com/wiki/Ezio_Rodriguez_(Books),Ezio
Tilly Fagan ,https://expanse.fandom.com/wiki/Tilly_Fagan_(Books),Tilly
Father Michel,https://expanse.fandom.com/wiki/Father_Michel,Father Michel
Fong ,https://expanse.fandom.com/wiki/Fong_(Books),Fong
Foster Sales,https://expanse.fandom.com/wiki/Foster_Sales,Foster
Gabby Smalls ,https://expanse.fandom.com/wiki/Gabby_Smalls_(Books),Gabby
Nancy Gao ,https://expanse.fandom.com/wiki/Nancy_Gao_(Books),Nancy
Shed Garvey ,https://expanse.fandom.com/wiki/Shed_Garvey_(Books),Shed
Gary Bisset ,https://expanse.fandom.com/wiki/Gary_Bisset_(Books),Gary
George Li,https://expanse.fandom.com/wiki/George_Li,George
Gia,https://expanse.fandom.com/wiki/Gia,Gia
Giselle,https://expanse.fandom.com/wiki/Giselle,Giselle
Givens,https://expanse.fandom.com/wiki/Givens,Givens
